ID;Nombre;Grado;Curso;Nota1;Nota2;Nota3;Nota4;Nota5;Nota6;Nota7;Nota8;Promedio;Faltas;Estado;NombreAcudiente;CorreoAcudiente;TelefonoAcudiente
3714;Laura Victoria Ospina;7;702;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Clemencia Ospina Berrios;clemenciaospinav@gmail.com;3116767676
3803;Tomas Enrique Bernal;8;801;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Enrique Bernal Guerrero;enriquebernalp@gmail.com;3148989898
3823;Manuela Fernanda Soler;8;802;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Angela Soler Rivera;angelasolerf01@gmail.com;3148989898
3901;Kevin Andres Guzman Martinez;9;901;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Alvaro Guzman Barrios;alvaroguzmana@gmail.com;3179090909
3911;Allison Dayana Murillo Garcias;9;902;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Rosa Murillo Llamas;rosamurillod@gmailcom;3040101010
4001;Jorge Luis Henao Gomez;10;1001;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Carlos Henao Blanco;carloshenaoacudiente@gmailcom;3007778899
4011;Mayerly Paola Ortiz Manjarres;10;1002;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Cecilia Ortiz Manrrique;ceciliaortizmadre@gmail.com;3150001122
5101;Santiago Jose Marin Gutierres;11;1101;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Claudia Duarte Perez;claudiaduartem@gmail.com;3123332222
5111;Isabella Moreno Duarte Duarte;11;1102;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Andres Duarte Marin;andresduartemarin@gmail.com;3102221111
1036;Lissa Navarro Quintero;Jardin;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Luis Navarro Rojas;Navarro0930@gmail.com;3025679440
1055;Mateo Pinzon Duarte;Jardin;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Carlos Pinzon Cardona;carlospinzoncardona882@gmail.com;3228590367
1221;Valentina Rojas Diaz;1;101;5,00;2,00;5,00;0.00;0.00;0.00;0.00;0.00;3,33;4;ALERTA DE ASISTENCIA;Carlos Rojas Barrios;carlosrojas22@email.com;3012345678
2425;Santiago Torres Leon;1;102;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Ana Leon Castillo;analeon@email.com;3023456789
2722;Camila Martinez Ruiz;1;102;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0,00;0;NORMAL;Luis Martinez Martinez;luismartinez@email.com;3034567890
5594;Sebastian Herrera Castro;2;201;2,00;2,40;3,20;4,20;0.00;0.00;0.00;0.00;2,95;0;ALERTA ACADÉMICA;Patricia Castro Mendez;patriciacastro@email.com;3045678901
2461;Daniela Vargas Ortiz;2;201;1,70;2,50;1,00;5,00;0.00;0.00;0.00;0.00;2,55;0;ALERTA ACADÉMICA;Jorge Vargas Villalba;jorgevargas@email.com;3056789012
3132;Nicolas Ramirez Silva;2;202;2,00;4,00;3,00;4,00;1,00;5,00;5,00;0.00;3,67;0;NORMAL;Sandra Silva Gonzales;sandrasilva@email.com;3067890123
7777;Jefferson Jose Barrios;2;202;5,00;4,00;4,00;3,00;3,00;4,00;4,00;0.00;3,67;0;NORMAL;Juliana Maria Hernandez;JuliMaria@email.com;300514612
